ID_CLUB,CLUB,NOM
1,"ECOA","Club d'Esqui La Molina"
2,"LMCE","La Molina Club d'Esports"
3,"UEC-M","Unió Excursionista Catalunya- Mataró"
4,"UEC-S","Unió Excursionista Catalunya-Sans"
5,"CEC","Centre Excursionista Catalunya"
6,"CAN-M","Club Alpi Nuria-Masella"
7,"CAF","Club Alpi Falco"
8,"CAEI","Club Aranes d'Esport d'Iuern"
9,"CEVA","Club Esqui Valle Aran"
10,"PEC","Club Esqui Puigcerda"
11,"ind","independent"
12,"BEC","Bisaure Esqui Club"
13,"BELLVE","Clubd'Esqui Bellve"
14,"CAP","Club Esqui Alpí Pirineus"
19,"CASTE","Centre Exc. Castellar"
20,"CCE","Cerdanya Club d'Esqui"
21,"CDP","Club Esqui Coll Pal"
22,"CEAC","Club Esqui Ceretà"
23,"CEAS","Club Alpí Sabadell"
24,"CEB","Club Esqui Bergadà"
25,"CEFUC","ClubEsquiUrgeletCerdanya"
26,"CEMT","Club EsportiuMasellaTeam"
27,"CER","Centre Exc. Ripoll"
28,"CET","Centre Exc.Terrassa"
29,"CIM","Esqui Club Cim"
30,"CMSC","Club Muntanyenc San Cugat"
31,"CQUIE","Centre Quitxalla Puig Reig"
32,"DRAC","Drac Esqui Club"
33,"ECC","Esqui Club Castelldefels"
35,"ECM","Manlleu Esqui Club"
36,"EEC","Espot Esqui Clubs Valls Aneu"
38,"ELIT","Club Esqui Ludic Tecnic Cerdanya Masella"
39,"FIG","Club Esqui Figueras"
40,"FON","Club Esqui Fontalba"
41,"GEC","Grup Exc.Capdevanol"
42,"GEIEG","Grup Exc Esp. Gironí"
43,"GNA","Club Esqui Girona"
44,"GRAN","Club Esqui Granollers"
45,"HEURES","Club Esqui LesHeures"
46,"LLIVIA","Club Esqui Llivia"
47,"LLUÇ","Club Esqui Lluçanes"
48,"MAN","Manresa Esqui Club"
49,"MEGA","Esqui Club Mega Neu"
50,"PC","Club Esqui Port Comte"
51,"RACC","Reial AutomobilClub Catalunya"
52,"TEC","Club Esqui Torello"
53,"TREMP","Club Esqui Tremp"
54,"UES","Unió Exc.Sabadell"
55,"VCE","Voltregà Esqui Club"
56,"VIC","Club Esqui Vic"
57,"MAY","May Luengo Racing Ski Team"
58,"CEAC","Club Esquí Alta Cerdanya"
59,"CEI","Club Esquí Internacional"
61,"ECOA","Esquí Club Ordino Arcalís"
62,"FREE","Freestyle club ski and snow la Molina"
63,"SHG","Sangay Ski Club"
